relationshipId,startNodeId,endNodeId,type,amount,unit,stepOrder
b0334521e4a6f9a5,ff67e774d1594ea5,2b81886bfba999c6,BELONGS_TO_CATEGORY,,,
2b27d9c91f3f60da,ff67e774d1594ea5,90fbf75112044729,HAS_DIFFICULTY_LEVEL,,,
ba43fca09a5a86b2,e117c8f8515e3d7f,60d67fa926316157,REQUIRES,10-12,只,
75fa848099800e7d,e117c8f8515e3d7f,7aa5a210bfa731dd,REQUIRES,500,毫升,
7f9efcf96ea49dde,e117c8f8515e3d7f,3de857b59530ec6e,REQUIRES,10,克,
521180b38c420615,e117c8f8515e3d7f,8eacb18b6bdddbdf,REQUIRES,15,克,
13b140d3a86b0268,e117c8f8515e3d7f,c58ebb601076aef8,REQUIRES,3,克,
3eb420bc73674a32,e117c8f8515e3d7f,012f941f126fbf2c,REQUIRES,2,克,
c455e4d12df01b74,e117c8f8515e3d7f,a6673eb5674c760f,REQUIRES,2,片,
d7e70757dae3ee56,e117c8f8515e3d7f,f00e325df91687b0,REQUIRES,20,毫升,
d24cae9b929a23ab,e117c8f8515e3d7f,fd3a4723e62d2b32,REQUIRES,,,
22e62c2c9f5a7ae1,e117c8f8515e3d7f,0b83459963f98b6b,CONTAINS_STEP,,,1.0
73a51692a37e53da,e117c8f8515e3d7f,bbf29dd27666fcd1,CONTAINS_STEP,,,2.0
eb61e33b8a6ac0a5,e117c8f8515e3d7f,60d6e7c4e2fa2151,CONTAINS_STEP,,,3.0
9fd718fa3439640b,e117c8f8515e3d7f,012011c104117849,CONTAINS_STEP,,,4.0
e9e8b098bdb32d34,e117c8f8515e3d7f,760b3df138fc2392,CONTAINS_STEP,,,5.0
31ae817185877bd1,e117c8f8515e3d7f,72bc9f0d6cf8a2b6,CONTAINS_STEP,,,6.0
13e1b57933cf2ed3,e117c8f8515e3d7f,e68c707064a1013f,CONTAINS_STEP,,,7.0
1ba00323f6b1faa4,e117c8f8515e3d7f,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
2b399b5abec54d75,e117c8f8515e3d7f,b47f0d2431a888a2,HAS_DIFFICULTY_LEVEL,,,
dc0e4869b464bb12,752118f8c9c8d947,36f1a0531eb2fe9e,REQUIRES,100,克,
fe5eb8df59edccc1,752118f8c9c8d947,987d92b730064b5a,REQUIRES,25,克,
84c939b792dc9b9b,752118f8c9c8d947,fd57a22c1641a4d5,REQUIRES,75,克,
e71f321b264cccd4,752118f8c9c8d947,012f941f126fbf2c,REQUIRES,,,
20263171ca1bc9e7,752118f8c9c8d947,815bbdfc045a50cc,REQUIRES,4,汤匙,
f8120af3b7f3f11e,752118f8c9c8d947,764be16565acfe60,REQUIRES,2,茶匙,
3e2023e9671f3002,752118f8c9c8d947,0fb4f52f54af8074,REQUIRES,1,汤匙,
8a0e7d7f1f99879e,752118f8c9c8d947,8eacb18b6bdddbdf,REQUIRES,0.5,茶匙,
6b3079d9028ef4f0,752118f8c9c8d947,83b24b4d778a2ccd,REQUIRES,,,
33d5088366d70e80,752118f8c9c8d947,a770b9a81db4bbec,REQUIRES,2,汤匙,
d84cde0b060f4d41,752118f8c9c8d947,a3dd28934f2f9a12,REQUIRES,200,毫升,
b6efdbffe2030786,752118f8c9c8d947,75789e58d099a674,REQUIRES,,,
99d052da37ae0e6a,752118f8c9c8d947,e82e6073646e1dc3,CONTAINS_STEP,,,1.0
44f4da0f7bc13acb,752118f8c9c8d947,2f0845532e0b0777,CONTAINS_STEP,,,2.0
0346c821683027f6,752118f8c9c8d947,a46e60dd16ccfc1c,CONTAINS_STEP,,,3.0
77bba0442ce3fab3,752118f8c9c8d947,dac81e3179304769,CONTAINS_STEP,,,4.0
070cde6f105fcf2b,752118f8c9c8d947,883392ec7a4ef941,CONTAINS_STEP,,,5.0
f65afef99d025751,752118f8c9c8d947,0c339bdefb478f4f,CONTAINS_STEP,,,6.0
2453e53356f32629,752118f8c9c8d947,20cc2b001f759ae2,CONTAINS_STEP,,,7.0
028d5d1e71ff6386,752118f8c9c8d947,4ef86bf834d01240,CONTAINS_STEP,,,8.0
8e654574276441a2,752118f8c9c8d947,1ac0b8da3d83f9ce,CONTAINS_STEP,,,9.0
89883c25f8dd026e,752118f8c9c8d947,3267734399f3ac24,CONTAINS_STEP,,,10.0
ba310e4f9ffdd78d,752118f8c9c8d947,8c1bb8a56b2a7ce1,CONTAINS_STEP,,,11.0
76164820160dedac,752118f8c9c8d947,f70964f8e9b4073d,CONTAINS_STEP,,,12.0
7d603306670eca9f,752118f8c9c8d947,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
eedd033cb1ba17ec,752118f8c9c8d947,8ffff47d4d8a1bba,HAS_DIFFICULTY_LEVEL,,,
386e144bf15d9958,1a45cafc6e7d6e8c,a93f1f104dad9803,REQUIRES,1,只,
abf4f030a778df0c,1a45cafc6e7d6e8c,c8788dbf0cb55e4c,REQUIRES,15,克,
e05daea7f80f4140,1a45cafc6e7d6e8c,f1946ff1846e5f20,REQUIRES,100,毫升,
1d8ca311749e8638,1a45cafc6e7d6e8c,8d8c7cfe7130f3a0,REQUIRES,1,个,
7cf5735170d8c5d2,1a45cafc6e7d6e8c,6ba3d74551e5a654,REQUIRES,200,克,
91279414f9fa646e,1a45cafc6e7d6e8c,f7e2bea0db01f3ce,REQUIRES,5,瓣,
489ff493a4927974,1a45cafc6e7d6e8c,83b24b4d778a2ccd,REQUIRES,,,
3ebc9f5bc7058be8,1a45cafc6e7d6e8c,591bba36f3a09e1c,REQUIRES,,,
9b89b027bd43853e,1a45cafc6e7d6e8c,2ccc440d6a3a498f,CONTAINS_STEP,,,1.0
e23233149c316788,1a45cafc6e7d6e8c,0a2dc31a905c2a80,CONTAINS_STEP,,,2.0
6cf206d109f52bc1,1a45cafc6e7d6e8c,868040b1bd0c24e1,CONTAINS_STEP,,,3.0
127cd97099c51a5b,1a45cafc6e7d6e8c,2002170a60b29271,CONTAINS_STEP,,,4.0
5b792a049c71bf2f,1a45cafc6e7d6e8c,4ffc82ae3e26286d,CONTAINS_STEP,,,5.0
c2beca53025dc87d,1a45cafc6e7d6e8c,0282af5b488ea6b4,CONTAINS_STEP,,,6.0
e92098d1e2c8ad70,1a45cafc6e7d6e8c,f7a3077ebe079f0e,CONTAINS_STEP,,,7.0
90e8fb2ccf694efc,1a45cafc6e7d6e8c,33e98ead092c44f1,CONTAINS_STEP,,,8.0
3637309267ba4d67,1a45cafc6e7d6e8c,aa6e1ad6f3834504,CONTAINS_STEP,,,9.0
cc66943021286ab5,1a45cafc6e7d6e8c,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
94bb9d2d1caacb47,1a45cafc6e7d6e8c,8ffff47d4d8a1bba,HAS_DIFFICULTY_LEVEL,,,
9ef327726966827a,9cfd60e27d37b519,3c88d3d4302255d7,REQUIRES,400,克,
311f95a758fcdaf8,9cfd60e27d37b519,f7e2bea0db01f3ce,REQUIRES,40,克,
1946dd4ef4409722,9cfd60e27d37b519,d5b541bd5905d59c,REQUIRES,20,克,
b40abbca94b6cc69,9cfd60e27d37b519,f00e325df91687b0,REQUIRES,13,克,
d81fdefc2b59d38d,9cfd60e27d37b519,8eacb18b6bdddbdf,REQUIRES,3,克,
02cfd1f8343a2470,9cfd60e27d37b519,99600898266742b1,REQUIRES,2,克,
e841c0f5033b4ab9,9cfd60e27d37b519,c58ebb601076aef8,REQUIRES,2,克,
